YEAR,RANGE_CATEGORY,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,FUEL,FUEL CONSUMPTION,KMXGALON,EMISSIONS
2001,HIGH_RANGE,SEDAN_COMPACT,4.3,8,Z,12.9,41.84284,253
2001,HIGH_RANGE,SUV_CROSSOVER,3.2,6,Z,13.9,37.01482,283
2001,MID_RANGE,SEDAN_COMPACT,2.4,4,X,10.9,48.2802,216
2001,MID_RANGE,TRUCK_VAN,3.3,6,Z,15.7,32.1868,322
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,10.8,48.2802,218
2001,MID_RANGE,SUV_CROSSOVER,3.5,6,X,14.7,33.79614,308
2001,MID_RANGE,TRUCK_VAN,3.3,6,X,13.9,38.62416,271
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.8,45.06152,235
2001,MID_RANGE,SUV_CROSSOVER,2.5,4,X,10.8,46.67086,221
2001,LOW_RANGE,SUV_CROSSOVER,2.5,6,X,12.9,38.62416,274
2001,MID_RANGE,MIDSIZE_FULLSIZE,3.0,6,X,11.2,48.2802,218
2001,MID_RANGE,SEDAN_COMPACT,2.0,4,X,9.8,53.10822,196
2001,MID_RANGE,WAGON_SPECIALTY,2.8,6,Z,13.7,38.62416,267
2001,MID_RANGE,SEDAN_COMPACT,2.4,5,Z,11.0,46.67086,221
2002,HIGH_RANGE,SUV_CROSSOVER,3.5,6,Z,13.9,38.62416,274
2002,HIGH_RANGE,SEDAN_COMPACT,3.2,6,Z,14.0,38.62416,271
2002,HIGH_RANGE,SEDAN_COMPACT,1.8,4,Z,11.3,46.67086,221
2002,HIGH_RANGE,MIDSIZE_FULLSIZE,3.0,6,Z,12.6,41.84284,248
2002,HIGH_RANGE,MIDSIZE_FULLSIZE,2.7,6,Z,13.7,40.2335,264
2002,HIGH_RANGE,SEDAN_COMPACT,2.7,6,Z,13.6,38.62416,267
2002,HIGH_RANGE,SEDAN_COMPACT,2.2,6,Z,11.3,48.2802,218
2002,HIGH_RANGE,SEDAN_COMPACT,3.0,6,Z,11.3,48.2802,218
2002,HIGH_RANGE,SEDAN_COMPACT,2.5,6,Z,11.8,45.06152,232
2002,LOW_RANGE,WAGON_SPECIALTY,2.0,4,X,11.8,45.06152,230
2002,MID_RANGE,TRUCK_VAN,5.9,8,X,20.1,27.35878,386
2002,MID_RANGE,MIDSIZE_FULLSIZE,4.6,8,X,13.6,40.2335,264
2002,MID_RANGE,SUV_CROSSOVER,2.0,4,X,10.8,46.67086,228
2002,MID_RANGE,SUV_CROSSOVER,4.0,6,X,16.0,32.1868,317
2002,MID_RANGE,TRUCK_VAN,4.2,6,X,14.8,35.40548,299
2002,MID_RANGE,TRUCK_VAN,4.6,8,X,16.1,32.1868,327
